level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	212	135	2128	2930	-1	
3	1	1	1	0	0	212	135	1922	423	-1	
4	1	1	1	1	0	632	135	1255	45	-1	
5	1	1	1	1	1	632	144	53	36	95.476006	IN
5	1	1	1	1	2	700	143	99	36	96.499107	THE
5	1	1	1	1	3	815	141	204	38	96.326447	CIRCUIT
5	1	1	1	1	4	1035	140	174	36	96.841248	COURT
5	1	1	1	1	5	1224	139	64	36	96.927216	OF
5	1	1	1	1	6	1304	139	99	34	96.876999	THE
5	1	1	1	1	7	1420	137	158	36	96.538994	STATE
5	1	1	1	1	8	1594	137	63	35	96.746391	OF
5	1	1	1	1	9	1674	135	213	37	96.721336	OREGON
4	1	1	1	2	0	924	191	670	40	-1	
5	1	1	1	2	1	924	195	102	36	95.818932	FOR
5	1	1	1	2	2	1039	192	323	38	95.583908	CLACKAMAS
5	1	1	1	2	3	1380	191	214	36	96.297989	COUNTY
4	1	1	1	3	0	1052	244	418	45	-1	
5	1	1	1	3	1	1052	244	157	37	96.665688	Probate
5	1	1	1	3	2	1224	245	246	44	95.331238	Department
4	1	1	1	4	0	212	345	1431	49	-1	
5	1	1	1	4	1	212	359	53	35	96.636147	IN
5	1	1	1	4	2	280	358	99	35	96.400925	THE
5	1	1	1	4	3	394	356	215	36	96.400925	MATTER
5	1	1	1	4	4	623	355	63	36	96.477661	OF
5	1	1	1	4	5	1261	348	15	45	82.273018	)
5	1	1	1	4	6	1413	346	131	38	95.983681	CASE
5	1	1	1	4	7	1557	345	86	37	95.139717	NO.
4	1	1	1	5	0	1263	401	15	47	-1	
5	1	1	1	5	1	1263	401	15	47	91.919846	)
4	1	1	1	6	0	1263	452	433	53	-1	
5	1	1	1	6	1	1263	455	15	50	91.872009	)
5	1	1	1	6	2	1414	452	282	42	96.876480	OBJECTION
4	1	1	1	7	0	1231	506	903	52	-1	
5	1	1	1	7	1	1231	511	47	47	25.652714	)
5	1	1	1	7	2	1414	511	110	35	96.428650	AND
5	1	1	1	7	3	1540	509	232	46	96.647034	REQUEST
5	1	1	1	7	4	1787	508	101	36	96.562988	FOR
5	1	1	1	7	5	1902	506	232	37	96.571259	HEARING
3	1	1	2	0	0	214	663	2022	542	-1	
4	1	1	2	1	0	215	663	2021	62	-1	
5	1	1	2	1	1	215	682	27	43	17.568207	is
5	1	1	2	1	2	1366	680	61	25	96.581253	am
5	1	1	2	1	3	1443	668	192	47	96.581253	objecting
5	1	1	2	1	4	1649	672	39	30	96.996437	to
5	1	1	2	1	5	1703	666	62	36	93.306160	the
5	1	1	2	1	6	1780	664	328	37	92.304680	Petition/Motion
5	1	1	2	1	7	2123	663	38	35	96.979286	in
5	1	1	2	1	8	2175	663	61	35	96.683189	the
4	1	1	2	2	0	216	724	997	50	-1	
5	1	1	2	2	1	216	733	121	36	95.397842	above
5	1	1	2	2	2	354	730	120	37	95.397842	stated
5	1	1	2	2	3	488	735	141	30	96.349556	matter.
5	1	1	2	2	4	660	729	71	45	95.461517	My
